Student ID,Person,Course Number,Course Name,Katz School Major,GPA,Graduation Semester,Country of Origin,Languages,Undergraduate Major,Age at Graduation,Years of Experience,Location,Job Decription
4784813239,Calahan Martin,Course1,Fall-2015: AI Capstone: R&D Experience,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst
4800891893,Johnson Angela,Course3,Fall-2015: AI Product Studio,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst
8479614053,Pockrus Clifford,Course3,Fall-2015: AI Product Studio,Data Analytics and Visualization,4,Spring-2017,China,Mandarin,Other,29,8,"New York, NY",Entry Business Systems Analyst
9290159667,Potter Eugene,Course3,Fall-2015: AI Product Studio,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6,"New York, NY",Data Architect I
4991566949,Berry Susan,Course3,Fall-2015: Advanced Data Engineering,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3,"New York, NY",Business Intelligence (BI) Developer
9706615799,Burley Kenneth,Course3,Fall-2015: Advanced Data Engineering,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2,"New York, NY",Big Data Architect
3285388144,Hyde Jacob,Course2,Fall-2015: Complex Systems: Financial Time Series Analysis,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I
4800891893,Johnson Angela,Course2,Fall-2015: Complex Systems: Financial Time Series Analysis,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst
9290159667,Potter Eugene,Course2,Fall-2015: Computational Statistics and Probability,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6,"New York, NY",Data Architect I
1422142335,Layland Karen,Course2,Fall-2015: DAV 5000 Business Modeling and Data Analysis,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst
3285388144,Hyde Jacob,Course1,Fall-2015: DAV 5000 Business Modeling and Data Analysis,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I
3986578591,Jackson Linda,Course1,Fall-2015: DAV 5100 Structured Data Management,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6,"New York, NY",Entry Business Systems Analyst
8479614053,Pockrus Clifford,Course2,Fall-2015: DAV 5100 Structured Data Management,Data Analytics and Visualization,4,Spring-2017,China,Mandarin,Other,29,8,"New York, NY",Entry Business Systems Analyst
1422142335,Layland Karen,Course3,Fall-2015: DAV 5200 Visual Design and Storytelling,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst
3986578591,Jackson Linda,Course2,Fall-2015: DAV 5200 Visual Design and Storytelling,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6,"New York, NY",Entry Business Systems Analyst
4991566949,Berry Susan,Course1,Fall-2015: DAV 5200 Visual Design and Storytelling,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3,"New York, NY",Business Intelligence (BI) Developer
8479614053,Pockrus Clifford,Course1,Fall-2015: DAV 5200 Visual Design and Storytelling,Data Analytics and Visualization,4,Spring-2017,China,Mandarin,Other,29,8,"New York, NY",Entry Business Systems Analyst
9706615799,Burley Kenneth,Course2,Fall-2015: DAV 5200 Visual Design and Storytelling,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2,"New York, NY",Big Data Architect
