Course Name,Student ID,First Name,Last Name,Katz School Major,GPA,Graduation Semester,Country of Origin,Languages,Undergraduate Major,Age at Graduation,Years of Experience,Location,Job Decription,Course #
Fall-2015: AI Capstone: R&D Experience,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course1
Fall-2015: AI Product Studio,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course3
Fall-2015: AI Product Studio,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course3
Fall-2015: AI Product Studio,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course3
Fall-2015: Advanced Data Engineering,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course3
Fall-2015: Advanced Data Engineering,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course3
Fall-2015: Complex Systems: Financial Time Series Analysis,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course2
Fall-2015: Complex Systems: Financial Time Series Analysis,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course2
Fall-2015: Computational Statistics and Probability,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course2
Fall-2015: DAV 5000 Business Modeling and Data Analysis,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course2
Fall-2015: DAV 5000 Business Modeling and Data Analysis,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course1
Fall-2015: DAV 5100 Structured Data Management,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course1
Fall-2015: DAV 5100 Structured Data Management,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course2
Fall-2015: DAV 5200 Visual Design and Storytelling,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course3
Fall-2015: DAV 5200 Visual Design and Storytelling,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course2
Fall-2015: DAV 5200 Visual Design and Storytelling,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course1
Fall-2015: DAV 5200 Visual Design and Storytelling,8479614053,Pockrus,Clifford,Data Analytics and Visualization,4.0,Spring-2017,China,Mandarin,Other,29,8.0,"New York, NY",Entry Business Systems Analyst,Course1
Fall-2015: DAV 5200 Visual Design and Storytelling,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course2
Fall-2015: DAV 5300 Computational Math and Statistics,3986578591,Jackson,Linda,Data Analytics and Visualization,3.42,Spring-2017,Pakistan,Sindhi,Engineering,27,6.0,"New York, NY",Entry Business Systems Analyst,Course3
Fall-2015: DAV 6500 Capstone,9706615799,Burley,Kenneth,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Engineering,24,2.0,"New York, NY",Big Data Architect,Course1
Fall-2015: Data Acquisition and Management,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course1
Fall-2015: Data Acquisition and Management,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course3
Fall-2015: Independent Study,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course1
Fall-2015: Internship,1422142335,Layland,Karen,Data Analytics and Visualization,3.42,Spring-2017,China,Mandarin,Engineering,25,3.5,"New York, NY",Entry Data Analyst,Course1
Fall-2015: MAN 5580 Project Management,3285388144,Hyde,Jacob,Data Analytics and Visualization,3.36,Spring-2017,USA,English,Computer Science,26,4.5,"New York, NY",Data Scientist I,Course3
Fall-2015: Machine Learning,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course3
Fall-2015: Numerical Methods,3574175120,Mabon,William,Artificial Intelligence,3.39,Spring-2017,USA,Spanish,Computer Science,27,5.5,"New York, NY",Machine Learning Engineer,Course2
Fall-2015: Predictive Models,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course2
Fall-2015: Predictive Models,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course1
Fall-2015: Special Topics,4991566949,Berry,Susan,Data Analytics and Visualization,3.55,Spring-2017,China,Mandarin,Computer Science,25,3.0,"New York, NY",Business Intelligence (BI) Developer,Course2
Fall-2016: AI Capstone: R&D Experience,1864078434,Hogan,Raymond,Artificial Intelligence,3.5,Spring-2018,China,Cantonese,Computer Science,24,2.5,"New York, NY",Data Scientist I,Course3
Fall-2016: AI Capstone: R&D Experience,5588524536,Garcia,Debra,Artificial Intelligence,3.72,Fall-2017,China,Mandarin,Computer Science,32,11.0,"New York, NY",Entry Business Systems Analyst,Course6
Fall-2016: AI Capstone: R&D Experience,7593367099,Watson,Sylvia,Artificial Intelligence,3.7,Fall-2017,USA,Spanish,Other,33,11.0,"Woodbridge, NJ",Machine Learning Engineer,Course5
Fall-2016: AI Product Studio,3374693293,Farmer,Timothy,Data Analytics and Visualization,3.15,Spring-2018,Other,P,Other,23,2.5,"New York, NY",Big Data Architect,Course1
Fall-2016: AI Product Studio,4540549979,Wayne,Lillie,Data Analytics and Visualization,3.54,Fall-2017,China,Mandarin,Engineering,26,4.0,"New York, NY",Entry Data Analyst,Course6
Fall-2016: AI Product Studio,4784813239,Calahan,Martin,Artificial Intelligence,2.95,Spring-2017,USA,English,Computer Science,27,5.5,"New York, NY",Entry Data Analyst,Course9
Fall-2016: AI Product Studio,6295538694,Mcgibney,Marilyn,Data Analytics and Visualization,3.58,Spring-2018,China,Mandarin,Health Sciences,24,3.0,"New York, NY",Machine Learning Engineer,Course1
Fall-2016: Advanced Data Engineering,1313020897,Jones,Jose,Data Analytics and Visualization,3.88,Spring-2018,India,Malayalam,Other,23,2.5,"New York, NY",Data Architect I,Course1
Fall-2016: Advanced Data Engineering,1647493071,Cousins,Wayne,Data Analytics and Visualization,3.71,Fall-2017,China,Mandarin,Mathematics,23,2.5,"New York, NY",Big Data Architect,Course6
Fall-2016: Artificial Intelligence,4800891893,Johnson,Angela,Artificial Intelligence,3.51,Spring-2017,China,Mandarin,Mathematics,24,2.5,"New York, NY",Entry Data Analyst,Course8
Fall-2016: Artificial Intelligence,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course9
Fall-2016: Bayesian Methods,9290159667,Potter,Eugene,Artificial Intelligence,3.63,Spring-2017,Pakistan,Sindhi,Mathematics,27,6.0,"New York, NY",Data Architect I,Course7
Fall-2016: Complex Systems: Financial Time Series Analysis,3374693293,Farmer,Timothy,Data Analytics and Visualization,3.15,Spring-2018,Other,P,Other,23,2.5,"New York, NY",Big Data Architect,Course3
