Student ID,First Name,Last Name,Katz School Major,GPA,Graduation Semester,Country of Origin,Languages,Undergraduate Major,Age at Graduation,Years of Experience,Location,Job Decription,Course1,Course2,Course3,Course4,Course5,Course6,Course7,Course8,Course9,Course10,Course11,Course12
5220113807,Witt,Valerie,Artificial Intelligence,3.32,Fall-2023,China,Mandarin,Computer Science,28,7.0,"Chicago, IL",Data Scientist I,Fall-2022: Neural Networks and Deep Learning,Fall-2022: Data Acquisition and Management,Fall-2022: Artificial Intelligence,Spring-2023: Bayesian Methods,Spring-2023: DAV 6100 Information Architectures,Spring-2023: Computational Statistics and Probability,Summer-2023: Numerical Methods,Summer-2023: DAV 6400 Internship,Summer-2023: Advanced Data Engineering,Fall-2023: AI Capstone: R&D Experience,Fall-2023: Machine Learning,Fall-2023: Predictive Models
9018455423,Stoneburner,Wayne,Artificial Intelligence,2.95,Spring-2017,China,Mandarin,Computer Science,28,6.0,"New York, NY",Machine Learning Engineer,Spring-2016: DAV 6400 Internship,Spring-2016: Machine Learning,Spring-2016: Data Visualization,Summer-2016: Neural Networks and Deep Learning,Summer-2016: Predictive Models,Summer-2016: Computational Statistics and Probability,Fall-2016: Numerical Methods,Fall-2016: DAV 6100 Information Architectures,Fall-2016: AI Product Studio,Spring-2017: AI Capstone: R&D Experience,Spring-2017: Artificial Intelligence,Spring-2017: Data Acquisition and Management
7715544750,Baxter,Christine,Data Analytics and Visualization,3.06,Summer-2019,China,Mandarin,Health Sciences,24,2.5,"New York, NY",UX Design Intern,Summer-2018: DAV 6500 Capstone,Summer-2018: Advanced Data Engineering,Summer-2018: DAV 6000 Talent Analytics,Fall-2018: Natural Language Processing,Fall-2018: DAV 5200 Visual Design and Storytelling,Fall-2018: DAV 5000 Business Modeling and Data Analysis,Spring-2019: MAN 5580 Project Management,Spring-2019: DAV 5400 Analytics Programming,Spring-2019: DAV 5300 Computational Math and Statistics,Summer-2019: DAV 5100 Structured Data Management,Summer-2019: AI Product Studio,Summer-2019: Independent Study
7220712289,Morris,Henry,Data Analytics and Visualization,3.67,Fall-2018,USA,English,Mathematics,32,11.5,"Woodbridge, NJ",Business Intelligence (BI) Developer,Fall-2017: DAV 6200 Data Product Design,Fall-2017: Advanced Data Engineering,Fall-2017: DAV 5100 Structured Data Management,Spring-2018: DAV 5400 Analytics Programming,Spring-2018: Independent Study,Spring-2018: DAV 6500 Capstone,Summer-2018: DAV 5300 Computational Math and Statistics,Summer-2018: MAN 5580 Project Management,Summer-2018: DAV 5000 Business Modeling and Data Analysis,Fall-2018: DAV 5200 Visual Design and Storytelling,Fall-2018: Complex Systems: Financial Time Series Analysis,Fall-2018: DAV 6000 Talent Analytics
8790693619,Godfrey,Merry,Artificial Intelligence,3.54,Summer-2017,USA,English,Computer Science,31,10.5,"Woodbridge, NJ",Entry Data Analyst,Summer-2016: Machine Learning,Summer-2016: Data Acquisition and Management,Summer-2016: DAV 6450 Independent Study,Fall-2016: Special Topics,Fall-2016: Predictive Models,Fall-2016: DAV 6000 Talent Analytics,Spring-2017: Numerical Methods,Spring-2017: AI Product Studio,Spring-2017: AI Capstone: R&D Experience,Summer-2017: Computational Statistics and Probability,Summer-2017: Artificial Intelligence,Summer-2017: Neural Networks and Deep Learning
1834943308,Fernandez,John,Artificial Intelligence,4.0,Fall-2022,Pakistan,Pashto,Other,25,3.5,"New York, NY",Data Architect I,Fall-2021: Numerical Methods,Fall-2021: DAV 6000 Talent Analytics,Fall-2021: Neural Networks and Deep Learning,Spring-2022: Predictive Models,Spring-2022: Data Acquisition and Management,Spring-2022: Data Visualization,Summer-2022: AI Capstone: R&D Experience,Summer-2022: Computational Statistics and Probability,Summer-2022: DAV 6050 Data-Driven Organizations,Fall-2022: Machine Learning,Fall-2022: DAV 6450 Independent Study,Fall-2022: Artificial Intelligence
6780700691,Eads,Willard,Data Analytics and Visualization,4.0,Spring-2023,China,Mandarin,Mathematics,24,3.5,"San Francisco, CA",Entry Data Analyst,Spring-2022: Data Visualization,Spring-2022: MAN 5580 Project Management,Spring-2022: DAV 5200 Visual Design and Storytelling,Summer-2022: DAV 5100 Structured Data Management,Summer-2022: Internship,Summer-2022: DAV 6400 Internship,Fall-2022: DAV 6000 Talent Analytics,Fall-2022: DAV 6500 Capstone,Fall-2022: DAV 5000 Business Modeling and Data Analysis,Spring-2023: DAV 5400 Analytics Programming,Spring-2023: DAV 5300 Computational Math and Statistics,Spring-2023: DAV 6450 Independent Study
7753783699,Leblanc,Linda,Artificial Intelligence,3.87,Spring-2020,USA,English,Engineering,28,7.5,"Bridgeport, CT",Business Intelligence (BI) Developer,Spring-2019: Numerical Methods,Spring-2019: DAV 6150 Data Science,Spring-2019: Computational Statistics and Probability,Summer-2019: Machine Learning,Summer-2019: Neural Networks and Deep Learning,Summer-2019: DAV 6400 Internship,Fall-2019: Predictive Models,Fall-2019: Artificial Intelligence,Fall-2019: AI Capstone: R&D Experience,Spring-2020: DAV 6450 Independent Study,Spring-2020: DAV 6050 Data-Driven Organizations,Spring-2020: Data Acquisition and Management
5330478330,Stam,Shawn,Artificial Intelligence,3.62,Summer-2020,China,Mandarin,Mathematics,23,2.0,"New York, NY",Entry Level Python Developer,Summer-2019: Machine Learning,Summer-2019: AI Product Studio,Summer-2019: Data Acquisition and Management,Fall-2019: Neural Networks and Deep Learning,Fall-2019: Natural Language Processing,Fall-2019: Computational Statistics and Probability,Spring-2020: Numerical Methods,Spring-2020: Artificial Intelligence,Spring-2020: DAV 6450 Independent Study,Summer-2020: AI Capstone: R&D Experience,Summer-2020: Predictive Models,Summer-2020: Complex Systems: Financial Time Series Analysis
2507907050,Williams,Michael,Artificial Intelligence,3.25,Spring-2021,India,Gujarati,Other,24,2.5,"New York, NY",Machine Learning Engineer,Spring-2020: Computational Statistics and Probability,Spring-2020: Advanced Data Engineering,Spring-2020: Numerical Methods,Summer-2020: Artificial Intelligence,Summer-2020: Data Acquisition and Management,Summer-2020: Complex Systems: Financial Time Series Analysis,Fall-2020: AI Capstone: R&D Experience,Fall-2020: Neural Networks and Deep Learning,Fall-2020: Predictive Models,Spring-2021: Data Visualization,Spring-2021: Bayesian Methods,Spring-2021: Machine Learning
